TR026483,25.480,377162,NENHUM,FALSE,ENTREGUE,PRIMOR ENGENHARIA LTDA,CLIENTE,P,PAGO,,,09/02/2025,1023680,JORGE,18/02/26 - 13:30 HORAS,,,"R$ 5.000,00",377114,"INSUFILME, VINIL E MOEDA, MANGUEIRA DE SOPRAR, CALHA E CHINIL",,,,,,,,,,,,,,,,,
SR037430,11.180,365588,NENHUM,FALSE,ENTREGUE,PRIMOS TRANSPORTES RODOVIARIOS LTDA,CLIENTE,OS.,PAGO,,JRV,11/11/2025,1009583,GUILHERME,21/11/25 as 09:00,,,"R$ 5.000,00",373514,"CHINIL, MANGUEIRA DE SOPRAR, INSUFLME E TAPETES",,,,,,,,,,,,,,,,,
TR002900,26.260,373512,NENHUM,FALSE,ENTREGUE,PRIMOS TRANSPORTES RODOVIARIOS LTDA,CLIENTE,OS.,PAGO,,,11/11/2025,1009453,GUILHERME,21/11/2025 as 09:00,,,"R$ 7.000,00",373513,"CHINIL, TAPETE PREMIUM E BORRACHA, INSUFILME, SOM, BUZINA MARITIMA E MANGUEIRA DE SOPRAR",,,,,,,,,,,,,,,,,
TR023583,18.210,381737,NENHUM,FALSE,ENTREGUE,PROATIVA ALIMENTOS LTDA,CLIENTE,P,PAGO,REALIZADA,Carta DVM AT 006-26 - Ação de Campo – verificação do roteiro do chicote elétrico do motor D08 - 1 Item(s),23/04/2026,103666,JORGE,20/05/26,09:00,,CORTESIA,,"INSFULME, CHINIL, VINIL E MOEDA",,,,,,,,,,,,,,,,,
TR018010,9.180,378064,NENHUM,FALSE,ENTREGUE,PROCEN PROJETOS E CONSTRUCOES LTDA,CLIENTE,A,PAGO,NÃO TEM,,27/02/2026,1027124,CARLOS,11/03/2026,09:00,,"R$ 2.000,00",,"TAPETES, CHINIL, MANGUEIRA, INSUFILME",,,,,,,,,,,,,,,,,
TR000284,11.180,365814,NENHUM,FALSE,ENTREGUE,PROSPECTOR MINERALS LTDA - PRANCHA SHOWROOM,CLIENTE,NÃO,PAGO,NÃO TEM,,25/07/2025,990636,DOUGLAS,05/08 - 09:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
VR010944,11.180,382193,NENHUM,FALSE,ENTREGUE,PRS CARTONAGEM LTDA,CLIENTE,N,PAGO,NÃO TEM,,21/05/2026,1040738,KRISLEY,27/05/26,16:00,,,,,,,,,,,,,,,,,,,,,
TR021271,9.180,381209,NENHUM,FALSE,ENTREGUE,PWM EMPORIO DAS FRUTAS LTDA,CLIENTE,P,PAGO,NÃO TEM,,10/04/2026,1034028,DOUGLAS,11/05/26,13:30,,"R$ 2.000,00",381127,"TAPETES VINIL,  MANGUEIRA DE SOPRAR , INSULFILME,  CALHAS DE CHUVAS,  CHINIL PAINEL , CAROTE DE AGUA",,,,,,,,,,,,,,,,,
TR027542,9.180,381738,NENHUM,FALSE,ENTREGUE,PWM EMPORIO DAS FRUTAS LTDA,CLIENTE,P,PAGO,NÃO TEM,,16/04/2026,1035038,DOUGLAS,19/05/26,16:00,,"R$ 2.000,00",381674,"TAPETES VINIL PRETO, MANGUEIRA DE SOPRAR, INSULFILM , CALHAS DE CHUVAS E CHINIL PAINEL PRETO",,,,,,,,,,,,,,,,,
TR202928,29.530,376383,NENHUM,FALSE,ENTREGUE,R B S PRODUTOS DE PANIFICADORA LTDA,CLIENTE,P,PAGO,NÃO TEM,,23/01/2026,1020896,JORGE,02/02/2026,13:30,,"R$ 12.640,00",376299,"CORTESIA: OS. 376297 DEFLETOR CEGONHEIRO - VOUCHER: OS. 376299, 6 RODAS E PARALAMAS PINTADOS",,,,,,,,,,,,,,,,,
SR021942,9.180,355061,NENHUM,FALSE,ENTREGUE,R M SANTOS E CIA LTDA,CLIENTE,NÃO,PAGO,,,12/03/2025,,LUIS CARLOS,17/03 - 14:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
SR204138,29.530,366153,NENHUM,FALSE,ENTREGUE,R.M SANTOS E CIA LTDA,CLIENTE,NÃO,PAGO,,,13/06/2025,983249,CARLOS,26/06 - 10:00 HORAS,,,"R$ 20.000,00",,"DEFLETOR, SAIA LATERAL, PARALAMAS PINTADOS, INSFUILME, TAPETE, CHINIL E MANGUEIRA DE SOPRAR, TAMPA DE RODA (PORCAS)",,,,,,,,,,,,,,,,,
SR031472,9.180,364556,NENHUM,FALSE,ENTREGUE,R.M SANTOS E CIA LTDA - LAVADO,CLIENTE,NÃO,PAGO,,,15/05/2025,977710,CARLOS,27/05 - 10:00 HORAS,,,"R$ 2.000,00",,"TAPETE, CHINIL, MANGUEIRA E INSUIFLME",,,,,,,,,,,,,,,,,
SR009551,9.180,349650,NENHUM,FALSE,ENTREGUE,RADLOG TRANSPORTES LTDA,CLIENTE,NÃO,PAGO,,JRV,25/02/2025,,DOUGLAS,17/04 - 14:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
SR017460,13.180,358180,NENHUM,FALSE,ENTREGUE,RAFAEL SILVA SOUZA 03193099163,CLIENTE,NÃO,PAGO,,,12/12/2024,,MARIANA,08/05 - 10:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
TR021255,30.320,373391,NENHUM,FALSE,ENTREGUE,RAMON GUERRA DE SOUSA LTDA,CLIENTE,NÃO,PAGO,,,29/10/2025,706412,EURIPEDES,12/11 - 09:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
SR204451,29.530,362126,NENHUM,FALSE,ENTREGUE,RBB AGROPECUARIA LTDA,CLIENTE,NÃO,PAGO,,PLACA - TGM9B62,30/05/2025,980783,CRISTIANO,23/06 - 14:00 HORAS,,,CORTESIA,,,,,,,,,,,,,,,,,,,
SR204229,29.530,363518,NENHUM,FALSE,ENTREGUE,RBB AGROPECUARIA LTDA,CLIENTE,NÃO,PAGO,,JRV - 14/05,23/04/2025,973609,CRISTIANO,19/05 - 10:00 HORAS,,,CORTESIA,,"Insulfilme, Tapete Preto, Chinil no painel bancos, Tecnil na 5° Roda, Radio amador, Antena PX, 6 Roda Alumínio Alcooa , Defletor teto alto - cor caminhão, Defletor laterais e saias laterais- cor caminhão, Buzina teto ,Escada alumínio 3 anos de revisão e garantia Grátis - pacote revisão Plus Rodoviária de 18.000 KM mês em qualquer concessionária VW do Brasil / pacote Rio incluso",,,,,,,,,,,,,,,,,
TR201402,29.530,369278,NENHUM,FALSE,ENTREGUE,RBB AGROPECUARIA LTDA,CLIENTE,OK,PAGO,NÃO TEM,,18/08/2025,994.657,CRISTIANO,25/08 - 09:00 HORAS,,,CORTESIA,369223,,,,,,,,,,,,,,,,,,
TR020374,20.480,379307,NENHUM,FALSE,ENTREGUE,RBY EXPRESS TRANSPORTES LTDA,CLIENTE,N,PAGO,NÃO TEM,,24/03/2026,1030818,JORGE,06/04/2026,09:00,,,,,,,,,,,,,,,,,,,,,
TR019888,20.480,378976,NENHUM,FALSE,ENTREGUE,RBY EXPRESS TRANSPORTES LTDA,CLIENTE,N,PAGO,NÃO TEM,,20/03/2026,1030347,JORGE,06/04/2026,09:00,,,,,,,,,,,,,,,,,,,,,
SR006185,25.480,365254,NENHUM,FALSE,ENTREGUE,RE TRANSPORTES LTDA,CLIENTE,NÃO,PAGO,,JRV - 02/07,21/05/2025,978708,LUIZ CLAUDIO,03/07/2025,13:00,,"R$ 2.000,00",366847,"TAPETE, CHINIL, MANGUEIRA, INSUIFLME e CORTINA",,,,,,,,,,,,,,,,,
TR013628,25.480,372162,NENHUM,FALSE,ENTREGUE,RE TRANSPORTES LTDA ,CLIENTE,P,PAGO,TEM,,25/11/2025,1011660,LUIZ CLAUDIO,30/01/26 - 11:00 HORAS,,,"R$ 2.000,00",375699,"TAPETE, CHINIL, MANGUEIRA DE SOPRAR, INSUFILME",,,,,,,,,,,,,,,,,
TR004745,18.320,376569,NENHUM,FALSE,ENTREGUE,RE TRANSPORTES LTDA - SÓ INSUFILME FALTANDO O RESTO,CLIENTE,A,PAGO,NÃO TEM,,29/01/2026,1021951,LUIZ CLAUDIO,11/02/26 - 16:00 HORAS,,,"R$ 2.000,00",377053,"TAPETE, CHINIL, MANGUEIRA DE SOPRAR, INSUFILME",,,,,,,,,,,,,,,,,
SR042030,9.180,368991,NENHUM,FALSE,ENTREGUE,REAL COMERCIO E FABRICACAO DE MOVEIS LTDA,CLIENTE,OK,PAGO,NÃO TEM,,11/08/2025,993497,DOUGLAS,,,,"R$ 2.000,00",368951,"TAPETE DE BORRACHA, MANGUEIRA DE SOPRAR, INSUFILME, CHINIL BANCO E PAINEL",,,,,,,,,,,,,,,,,
SR203484,28.480,357157,NENHUM,FALSE,ENTREGUE,REAL DISTRIBUIDORA DE FRUTAS LTDA,CLIENTE,NÃO,PAGO,,,25/04/2025,974221,GADMA,05/05 - 14:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
TR018005,26.260,368906,NENHUM,FALSE,ENTREGUE,REAL TRANSPORTES E MATERIAIS DE CONSTRUCAO LTDA,CLIENTE,OK,PAGO,NÃO TEM,,07/08/2025,993018,DOUGLAS,14/08 - 13:30 HORAS,,,EXTERNO,368911,TAPETE DE BORRACHA E TAPETE DE VINIL,,,,,,,,,,,,,,,,,
TR026809,26.320,380559,NENHUM,FALSE,ENTREGUE,RECEITA DE AMAR PRODUCOES,CLIENTE,N,PAGO,NÃO TEM,,02/04/2026,1032874,JORGE,28/04/2026,16:00,,,,,,,,,,,,,,,,,,,,,
TR014435,26.320,368755,NENHUM,FALSE,ENTREGUE,RECICLAGEM PLANETA LTDA,CLIENTE,OK,PAGO,NÃO TEM,,05/08/2025,992528,DOUGLAS,12/08 - 16:00 HORAS,,,EXTERNO,368703,BUZINA MARITIMA - HERCULES,,,,,,,,,,,,,,,,,
SR042622,9.180,365594,BAU - JRV,FALSE,ENTREGUE,RECOL AMB COL E TRAT DE RESIDUOS LTDA - FALTOU TAPETE BORRACHA,CLIENTE,OS.,PAGO,NÃO TEM,,26/11/2025,1011970,DOUGLAS,15/01/2026 - 13:30 HORAS,,,"R$ 4.500,00",375812,TAPETE BORRACHA + GEOMETRIA,,,,,,,,,,,,,,,,,
TR001595,11.180,376664,NENHUM,FALSE,ENTREGUE,REDE PET PRODUTOS AGROPECUARIOS LTDA,CLIENTE,N,PAGO,NÃO TEM,,21/01/2026,1020336,JORGE,04/02/26 - 16:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
TR001703,11.180,377321,BAU - JRV,TRUE,ENTREGUE,REDE PET PRODUTOS AGROPECUARIOS LTDA - USADO,CLIENTE,N,PAGO,NÃO TEM,,21/01/2026,1020334,JORGE,20/02/2026 - 13:30 HORAS,,,,,,,,,,,,,,,,,,,,,,
VR005665,31.320,,,,ENTREGUE,REFRESCOS BANDEIRANTES IND. E COM. LTDA,CLIENTE,,,29/05/2026,1042051,CRISTIANO,PAGO,,383436,TEM,,Carta DVM AT 010-26 - Ação de Campo - Substituição do elemento do filtro de ar do motor - Constellation - 1 Item(s),,,,,,,,,,,,,,,,,,,
VR004587,26.260,381067,NENHUM,FALSE,ENTREGUE,REGRA LOGISTICA EM DISTRIBUICAO LTDA,CLIENTE,N,PAGO,NÃO TEM,,28/02/2026,718244,CRISTIANO,06/05/26,13:30,,,,,,,,,,,,,,,,,,,,,
VR004334,26.260,381629,NENHUM,FALSE,ENTREGUE,REGRA LOGISTICA EM DISTRIBUICAO LTDA,CLIENTE,N,PAGO,NÃO TEM,,25/02/2026,717408,CRISTIANO,06/05/26,13:30,,,,,,,,,,,,,,,,,,,,,
VR004450,26.260,381069,NENHUM,FALSE,ENTREGUE,REGRA LOGISTICA EM DISTRIBUICAO LTDA,CLIENTE,N,PAGO,NÃO TEM,,25/02/2026,717903,CRISTIANO,06/05/26,13:30,,,,,,,,,,,,,,,,,,,,,
VR005275,26.260,381070,NENHUM,FALSE,ENTREGUE,REGRA LOGISTICA EM DISTRIBUICAO LTDA,CLIENTE,N,PAGO,NÃO TEM,,25/02/2026,718664,CRISTIANO,06/05/26,13:30,,,,,,,,,,,,,,,,,,,,,
VR004219,26.260,381071,NENHUM,FALSE,ENTREGUE,REGRA LOGISTICA EM DISTRIBUICAO LTDA,CLIENTE,N,PAGO,NÃO TEM,,25/02/2026,717407,CRISTIANO,06/05/26,13:30,,,,,,,,,,,,,,,,,,,,,
VR004414,26.260,378082,NENHUM,FALSE,ENTREGUE,REGRA LOGISTICA EM DISTRIBUICAO LTDA,CLIENTE,N,PAGO,NÃO TEM,REGRA LOGISTICA - PRANCHA,09/02/2026,716172,CRISTIANO,,,,,,,,,,,,,,,,,,,,,,,
VR004441,26.260,381628,NENHUM,FALSE,ENTREGUE,REGRA LOGISTICA EM DISTRIBUICAO LTDA,CLIENTE,N,PAGO,NÃO TEM,,25/02/2026,717409,CRISTIANO,,,,,,,,,,,,,,,,,,,,,,,
VR004002,26.260,381633,NENHUM,FALSE,ENTREGUE,REGRA LOGISTICA EM DISTRIBUICAO LTDA,CLIENTE,N,PAGO,NÃO TEM,,25/02/2026,717903,CRISTIANO,,,,,,,,,,,,,,,,,,,,,,,
VR004485,26.260,381630,NENHUM,FALSE,ENTREGUE,REGRA LOGISTICA EM DISTRIBUICAO LTDA,CLIENTE,N,PAGO,NÃO TEM,,25/02/2026,717902,CRISTIANO,,,,,,,,,,,,,,,,,,,,,,,
VR005126,26.260,381631,NENHUM,FALSE,ENTREGUE,REGRA LOGISTICA EM DISTRIBUICAO LTDA,CLIENTE,N,PAGO,NÃO TEM,,25/02/2026,718299,CRISTIANO,,,,,,,,,,,,,,,,,,,,,,,
TR003066,30.320,363335,NENHUM,FALSE,ENTREGUE,"REJUMASSA IND, C E T D REJUNTES LTDA",CLIENTE,NÃO,PAGO,,,11/04/2025,684719,DOUGLAS,,,,,,,,,,,,,,,,,,,,,,,
SR204430,29.530,371716,NENHUM,FALSE,ENTREGUE,RENATO JOSE DA CRUZ QUEIROZ ,CLIENTE,OK,PAGO,NÃO TEM,,29/09/2025,1002091,DOUGLAS,14/10 - 09:00 HORAS,,,EXTERNO,371614,"DEFLETOR, SAIA LATERAL E PARALAMAS PINTADOS",,,,,,,,,,,,,,,,,
TR029252,13.180,376782,NENHUM,FALSE,ENTREGUE,RENOVADORA DE PNEUS FUTURA LTDA - FALTOU CHINIL,CLIENTE,P,PAGO,NÃO TEM,,30/01/2026,1022266,LUIZ CLAUDIO,12/02/26 - 09:00 HORAS,,,,376781,"TAPETE, CHINIL E SOPRADOR",,,,,,,,,,,,,,,,,
TR022325,26.320,379701,NENHUM,FALSE,ENTREGUE,RNV SERVICOS SUSTENTAVEIS LTDA,CLIENTE,N,PAGO,NÃO TEM,,31/03/2026,1032473,RUI,10/04/2026,13:30,,,,,,,,,,,,,,,,,,,,,
TR033601,EXPRESS,375618,CARROC. JRV,TRUE,ENTREGUE,ROBOCONTROL,CLIENTE,NÃO,PAGO,,,16/01/2026,,PAULO,16/01/2026 - 10:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
TR021302,EXPRESS,371932,NENHUM,FALSE,ENTREGUE,ROBOCONTROL EQUIPAMENTOS E SERVICOS LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,08/10/2025,1003758,PAULO,10/10 - 16:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
SR041689,14.210,365818,NENHUM,FALSE,ENTREGUE,ROBOCONTROL EQUIPAMENTOS E SERVICOS LTDA ,CLIENTE,NÃO,PAGO,NÃO TEM,02/07/2025,20/05/2025,978454,PAULO,23/08 - 10:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
SR036367,14.210,367521,NENHUM,FALSE,ENTREGUE,ROBOCONTROL EQUIPAMENTOS SEMI NOVO,CLIENTE,NÃO,PAGO,,JRV,14/07/2025,988464,PAULO,17/07 - 16:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
TR031773,11.180,379308,NENHUM,FALSE,ENTREGUE,ROBSON BEZERRA DA SILVA LTDA,CLIENTE,P,PAGO,NÃO TEM,P/ JRV,24/03/2026,1030858,JORGE,07/04/2026,16:00,,EXTERNO,379507,INSUFILME,,,,,,,,,,,,,,,,,
VR202891,29.530,377599,NENHUM,FALSE,ENTREGUE,RODOVIARIO CONFIANCA LTDA ,CLIENTE,A,PAGO,NÃO TEM,,20/02/2026,1025601,CRISTIANO,13/03/2026,16:00,,CORTESIA,377539,"KIT DEFLETOR CEGONHEIRO E SAIA LATERAL, FORRO CHINIL, BANCOS PAINEIS, TAPETE VINIL",,,,,,,,,,,,,,,,,
SR204057,29.530,372868,NENHUM,FALSE,ENTREGUE,RODOVIARIO CONFIANCA LTDA - AZUL BISCAY,CLIENTE,OS.,PAGO,,,30/10/2025,1007457,CRISTIANO,07/11 - 16:00 HORAS,,,CORTESIA,372869,"KIT DEFLETOR CEGONHEIRO E SAIA LATERAL, FORRO CHINIL BANCOS PAINEIS, TAPETE VINIL",,,,,,,,,,,,,,,,,
TR200634,29.530,365169,NENHUM,FALSE,ENTREGUE,RODOVIARIO CONFIANCA LTDA - AZUL NOTURNO,CLIENTE,OS.,PAGO,,,30/10/2025,1007458,CRISTIANO,07/11 - 16:00 HORAS,,,CORTESIA,372867,"KIT DEFLETOR CEGONHEIRO E SAIA LATERAL, FORRO CHINIL BANCOS PAINEIS, TAPETE VINIL",,,,,,,,,,,,,,,,,
TR201266,28.480,373029,NENHUM,FALSE,ENTREGUE,RODOVIARIO MARQUES LTDA,CLIENTE,OS.,PAGO,,,31/10/2025,1008068,CRISTIANO,14/11 - 16:00 HORAS,,,CORTESIA,373003,DEFLETOR TETO ALTO,,,,,,,,,,,,,,,,,
SR018909,9.180,362592,NENHUM,FALSE,ENTREGUE,RODRIGO DE OLIVEIRA NUNES,CLIENTE,NÃO,PAGO,,LAVANDO,26/03/2025,,GUILHERME,09/04 - 10:00 HORAS,,,,,VAI COLOCAR ACESSÓRIOS NA REVISAO DE ASSENTAMENTO,,,,,,,,,,,,,,,,,
SR032903,EXPRESS,362248,NENHUM,FALSE,ENTREGUE,RODRIGO DOS REIS SILVA,CLIENTE,NÃO,PAGO,NÃO TEM,JRV - 30/07/2025 - TIRAR BAÚ,28/07/2025,990866,JORGE,02/08/2025,10:00,,,,,,,,,,,,,,,,,,,,,
TR001900,11.180,376261,NENHUM,FALSE,ENTREGUE,RODRIGUES DISTRIBUIDORA - FALTANDO 2 KIT CHINIL,CLIENTE,A,PAGO,NÃO TEM,,20/01/2026,1020025,CARLOS,24/01/26 - 10:00 HORAS,,,"R$ 2.000,00",376243,"4 PISO MOEDA, 2 CHINIL 2 MANGUEIRA DE SOPRAR (PARA 2 CAMINHOES)",,,,,,,,,,,,,,,,,
SR034619,3.160,363275,NENHUM,FALSE,ENTREGUE,RONALDO FRANCISCO DE REZENDE,CLIENTE,NÃO,PAGO,,,16/04/2025,972843,MARIANA,20/05 - 16:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
TR006690,17.210,364950,NENHUM,FALSE,ENTREGUE,RONALDO RODRIGUES DE OLIVEIRA,CLIENTE,NÃO,PAGO,,THERMO POINT - 23/05,16/05/2025,977914,DOUGLAS,10/07 - 13:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
TR008703,27.260,371329,NENHUM,FALSE,ENTREGUE,ROTOMAQUINAS INDUSTRIA LTDA,CLIENTE,OK,PAGO,,,19/09/2025,1000588,GUILHERME,08/10 - 13:30 HORAS,,,"R$ 4.000,00",371278,"CHINIL PARA BANCO E PAINEL , TAPETE PREMIUM, INSULFILM, SOM , MANGUEIRA DE SOPRAR E BUZINA MARITIMA ",,,,,,,,,,,,,,,,,
TR009517,27.260,371525,NENHUM,FALSE,ENTREGUE,ROTOMAQUINAS INDUSTRIA LTDA,CLIENTE,OK,PAGO,,,19/09/2025,1000591,GUILHERME,08/10 - 13:30 HORAS,,,"R$ 4.000,00",371215,"CHINIL PARA BANCO E PAINEL , TAPETE PREMIUM, INSULFILM, SOM , MANGUEIRA DE SOPRAR E BUZINA MARITIMA ",,,,,,,,,,,,,,,,,
TR002974,31.320,372530,NENHUM,FALSE,ENTREGUE,ROTOMAQUINAS INDUSTRIA LTDA,CLIENTE,OS.,PAGO,NÃO TEM,,17/10/2025,1005561,GUILHERME,30/10 - 13:30 HORAS,,,"R$ 8.000,00",372538,"CHINIL PARA BANCO E PAINEL , TAPETE PREMIUM, INSULFILM, SOM , MANGUEIRA DE SOPRAR E BUZINA MARITIMA ",,,,,,,,,,,,,,,,,
TR002901,31.320,369633,NENHUM,FALSE,ENTREGUE,ROTOMAQUINAS INDUSTRIA LTDA,CLIENTE,OS.,PAGO,NÃO TEM,,17/10/2025,100562,GUILHERME,30/10 - 13:30 HORAS,,,"R$ 8.000,00",VOUCHER,"CHINIL PARA BANCO E PAINEL , TAPETE PREMIUM, INSULFILM, SOM , MANGUEIRA DE SOPRAR E BUZINA MARITIMA ",,,,,,,,,,,,,,,,,
TR003817,26.320,371524,NENHUM,TRUE,ENTREGUE,ROTOMAQUINAS INDUSTRIA LTDA,CLIENTE,OK,PAGO,NÃO TEM,,19/09/2025,1000606,GUILHERME,29/12 - 09:00 HORAS,,,"R$ 6.000,00",371284,"CHINIL PARA BANCO E PAINEL , TAPETE PREMIUM, INSULFILM, SOM , MANGUEIRA DE SOPRAR E BUZINA MARITIMA ",,,,,,,,,,,,,,,,,
TR003489,26.320,371328,NENHUM,TRUE,ENTREGUE,ROTOMAQUINAS INDUSTRIA LTDA,CLIENTE,OK,PAGO,NÃO TEM,,19/09/2025,1000604,GUILHERME,29/12 - 09:00 HORAS,,,"R$ 6.000,00",371284,"CHINIL PARA BANCO E PAINEL , TAPETE PREMIUM, INSULFILM, SOM , MANGUEIRA DE SOPRAR E BUZINA MARITIMA ",,,,,,,,,,,,,,,,,
SR042267,9.180,371330,NENHUM,FALSE,ENTREGUE,ROTOMAQUINAS INDUSTRIA LTDA ,CLIENTE,OK,PAGO,NÃO TEM,JRV - 13/10,19/09/2025,1000610,GUILHERME,14/11 - 13:30 HORAS,,,CORTESIA,371289,"CHINIL PARA BANCO E PAINEL , TAPETE , INSULFILM, MANGUEIRA DE SOPRAR ",,,,,,,,,,,,,,,,,
SR042624,9.180,371610,NENHUM,FALSE,ENTREGUE,ROTOMAQUINAS INDUSTRIA LTDA ,CLIENTE,OK,PAGO,NÃO TEM,JRV - 06/10,19/09/2025,1000612,GUILHERME,14/11 - 13:30 HORAS,,,CORTESIA,371291,"CHINIL PARA BANCO E PAINEL , TAPETE , INSULFILM, MANGUEIRA DE SOPRAR ",,,,,,,,,,,,,,,,,
SR041366,9.180,371526,NENHUM,FALSE,ENTREGUE,ROTOMAQUINAS INDUSTRIA LTDA ,CLIENTE,OK,PAGO,NÃO TEM,JRV - 10/10/25,19/09/2025,1000613,GUILHERME,14/11 - 13:30 HORAS,,,CORTESIA,371292,"CHINIL PARA BANCO E PAINEL , TAPETE , INSULFILM, MANGUEIRA DE SOPRAR ",,,,,,,,,,,,,,,,,
SR201751,29.530,371624,NENHUM,FALSE,ENTREGUE,ROTOMAQUINAS INDUSTRIA LTDA - FALTANDO TAPETE,CLIENTE,OS.,PAGO,,,30/09/2025,1002387,GUILHERME,08/10 - 13:30 HORAS,,,"R$ 5.000,00",371626,"CHINIL PARA BANCO E PAINEL , TAPETE PREMIUM, INSULFILM,  E BUZINA MARITIMA ",,,,,,,,,,,,,,,,,
TR007127,26.260,365611,NENHUM,FALSE,ENTREGUE,RSK LOCACAO LTDA,CLIENTE,NÃO,PAGO,,,03/06/2025,981223,CRISTIANO,05/06 - 10:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
VR002630,26.260,380331,NENHUM,FALSE,ENTREGUE,RSK LOCACAO LTDA,CLIENTE,N,PAGO,NÃO TEM,,13/04/2026,1034304,CRISTIANO,23/04/26,13:30,,,,,,,,,,,,,,,,,,,,,
TR028423,25.480,379107,NENHUM,FALSE,ENTREGUE,RTL ENCOMENDAS E CARGAS LTDA,CLIENTE,P,PAGO,NÃO TEM,,24/03/2026,1030899,CRISTIANO,02/04/2026,09:00,,CORTESIA,379108,TAPETES VINIL CHENIL - CORTINA CRISTIANO VAI PAGAR,,,,,,,,,,,,,,,,,
TR022579,11.180,370870,NENHUM,FALSE,ENTREGUE,RUBENS J DA SILVA REPRENTACOES LTDA,CLIENTE,OK,PAGO,,,16/09/2025,999947,JORGE,26/09 - 16:00 HORAS,,,"R$ 3.000,00",371306,EMPLACAMENTO- TAPETE CARPETE PRETO - TAPETE MOEDA PRETO - MAGUEIRA DE SOPRAR PRETA  - CALHA DE CHUVA - INSULFILM - CHINIL BANCOS E PAINEL PRETO ,,,,,,,,,,,,,,,,,
SR039657,18.260,359996,NENHUM,FALSE,ENTREGUE,RV RAÇOES LTDA,CLIENTE,NÃO,PAGO,,,06/02/2025,,LUIZ CLAUDIO,08/04 - 08:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
SR018764,30.320,352891,NENHUM,FALSE,ENTREGUE,RV RAÇOES LTDA,CLIENTE,NÃO,PAGO,,,06/02/2025,,LUIZ CLAUDIO,12/05 - 08:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
SR031107,26.320,363109,NENHUM,FALSE,ENTREGUE,RV RAÇOES LTDA,CLIENTE,NÃO,PAGO,,FACCHINI,06/02/2025,,LUIZ CLAUDIO,24/04 - 08:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
SR036734,18.260,362589,NENHUM,FALSE,ENTREGUE,RV RAÇOES LTDA ,CLIENTE,NÃO,PAGO,,JRV - 08/04,,,LUIZ CLAUDIO,15/05 - 08:00 HORAS,,,"R$ 2.000,00",,"TAPETE, CHINIL E SOPRADOR",,,,,,,,,,,,,,,,,
SR017523,30.320,352034,NENHUM,FALSE,ENTREGUE,RW TRANSPORTES - FAZER POLIMENTO QUANDO FIZER REVISAO,CLIENTE,NÃO,PAGO,,,30/4/2025,975351,GUILHERME,20/05 - 10:00 HORAS,,,"R$ 25.000,00",,ACESSORIOS,,,,,,,,,,,,,,,,,
SR037035,18.260,360979,NENHUM,FALSE,ENTREGUE,RW TRANSPORTES RODOVIARIOS,CLIENTE,NÃO,PAGO,,JRV,,,GUILHERME,09/04 - 16:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
VR000828,11.180,381024,NENHUM,FALSE,ENTREGUE,S F T TRANSPORTES LTDA,CLIENTE,N,PAGO,NÃO TEM,,27/04/2026,1036652,CRISTIANO,08/05/2026,16:00,,,,,,,,,,,,,,,,,,,,,
VR000828,11.180,381024,NENHUM,FALSE,ENTREGUE,S F T TRANSPORTES LTDA,CLIENTE,N,PAGO,NÃO TEM,,27/04/2026,1036652,CRISTIANO,13/05/2026,13:30,,,,,,,,,,,,,,,,,,,,,
SR042199,11.180,360724,NENHUM,FALSE,ENTREGUE,SANTA FE AGROINDUSTRIAL LTDA,CLIENTE,NÃO,PAGO,,SHOWROOM,28/4/2025,974470,JORGE,02/05/2025,14:00,,,,,,,,,,,,,,,,,,,,,
SR039434,18.260,362786,NENHUM,FALSE,ENTREGUE,SANTOS E RUBI TRANSPORTES LTDA,CLIENTE,NÃO,PAGO,,JRV,13/02/2025,,RUI,14/04 - 14:00 horas,,,,,DEFLETOR E ACESSÓRIOS,,,,,,,,,,,,,,,,,
SR032822,31.320,362342,NENHUM,FALSE,ENTREGUE,SAO SALVADOR ALIMENTOS S.A,CLIENTE,NÃO,PAGO,,,01/04/2025,,EURIPEDES,16/05 - 10:00 HORA,,,,,,,,,,,,,,,,,,,,,,
SR011822,8.180,,NENHUM,FALSE,ENTREGUE,SECRETARIA DE ESTADO DA EDUCAÇÃO,CLIENTE,NÃO,PAGO,,,,,RUI,,,,,,,,,,,,,,,,,,,,,,,
